date,year,meeting_id,statement_url,statement_text,statement_clean_text,statement_n_words,statement_download_error,rate_decision
2002-05-07,2002,2002-05-07,https://www.federalreserve.gov/boarddocs/press/monetary/2002/20020507/,"Release Date: May 7, 2002 For immediate release The Federal Open Market Committee decided today to keep its target for the federal funds rate unchanged at 1 3/4 percent. The information that has become available since the last meeting of the Committee confirms that economic activity has been receiving considerable upward impetus from a marked swing in inventory investment. Nonetheless, the degree of the strengthening in final demand over coming quarters, an essential element in sustained economic expansion, is still uncertain. In these circumstances, although the stance of monetary policy is currently accommodative, the Committee believes that, for the foreseeable future, against the background of its long run goals of price stability and sustainable economic growth and of the information currently available, the risks are balanced with respect to the prospects for both goals. Voting for the FOMC monetary policy action were: Alan Greenspan, Chairman; William J. McDonough, Vice Chairman; Susan S. Bies; Roger W. Ferguson, Jr.; Edward M. Gramlich; Jerry L. Jordan; Robert D. McTeer, Jr.; Mark W. Olson; Anthony M. Santomero, and Gary H. Stern. Voting against the action: none. 2002 Monetary policy Home | News and events Accessibility Last update: May 7, 2002","release date: may 7, 2002 for immediate release the federal open market committee decided today to keep its target for the federal funds rate unchanged at 1 3/4 percent. the information that has become available since the last meeting of the committee confirms that economic activity has been receiving considerable upward impetus from a marked swing in inventory investment. nonetheless, the degree of the strengthening in final demand over coming quarters, an essential element in sustained economic expansion, is still uncertain. in these circumstances, although the stance of monetary policy is currently accommodative, the committee believes that, for the foreseeable future, against the background of its long run goals of price stability and sustainable economic growth and of the information currently available, the risks are balanced with respect to the prospects for both goals. voting for the fomc monetary policy action were: alan greenspan, chairman; william j. mcdonough, vice chairman; susan s. bies; roger w. ferguson, jr.; edward m. gramlich; jerry l. jordan; robert d. mcteer, jr.; mark w. olson; anthony m. santomero, and gary h. stern. voting against the action: none. 2002 monetary policy home | news and events accessibility last update: may 7, 2002",188,,hold
2002-06-26,2002,2002-06-26,https://www.federalreserve.gov/boarddocs/press/monetary/2002/20020626/,"Release Date: June 26, 2002 For immediate release The Federal Open Market Committee decided today to keep its target for the federal funds rate unchanged at 1 3/4 percent. The information that has become available since the last meeting of the Committee confirms that economic activity is continuing to increase. However, both the upward impetus from the swing in inventory investment and the growth in final demand appear to have moderated. The Committee expects the rate of increase of final demand to pick up over coming quarters, supported in part by robust underlying growth in productivity, but the degree of the strengthening remains uncertain. In these circumstances, although the stance of monetary policy is currently accommodative, the Committee believes that, for the foreseeable future, against the background of its long run goals of price stability and sustainable economic growth and of the information currently available, the risks are balanced with respect to the prospects for both goals. Voting for the FOMC monetary policy action were: Alan Greenspan, Chairman; William J. McDonough, Vice Chairman; Susan S. Bies; Roger W. Ferguson, Jr.; Edward M. Gramlich; Jerry L. Jordan; Robert D. McTeer, Jr.; Mark W. Olson; Anthony M. Santomero, and Gary H. Stern. Voting against the action: none. 2002 Monetary policy Home | News and events Accessibility Last update: June 26, 2002","release date: june 26, 2002 for immediate release the federal open market committee decided today to keep its target for the federal funds rate unchanged at 1 3/4 percent. the information that has become available since the last meeting of the committee confirms that economic activity is continuing to increase. however, both the upward impetus from the swing in inventory investment and the growth in final demand appear to have moderated. the committee expects the rate of increase of final demand to pick up over coming quarters, supported in part by robust underlying growth in productivity, but the degree of the strengthening remains uncertain. in these circumstances, although the stance of monetary policy is currently accommodative, the committee believes that, for the foreseeable future, against the background of its long run goals of price stability and sustainable economic growth and of the information currently available, the risks are balanced with respect to the prospects for both goals. voting for the fomc monetary policy action were: alan greenspan, chairman; william j. mcdonough, vice chairman; susan s. bies; roger w. ferguson, jr.; edward m. gramlich; jerry l. jordan; robert d. mcteer, jr.; mark w. olson; anthony m. santomero, and gary h. stern. voting against the action: none. 2002 monetary policy home | news and events accessibility last update: june 26, 2002",211,,hold
2002-08-13,2002,2002-08-13,https://www.federalreserve.gov/boarddocs/press/monetary/2002/20020813/,"Release Date: August 13, 2002 For immediate release The Federal Open Market Committee decided today to keep its target for the federal funds rate unchanged at 1 3/4 percent. The softening in the growth of aggregate demand that emerged this spring has been prolonged in large measure by weakness in financial markets and heightened uncertainty related to problems in corporate reporting and governance. The current accommodative stance of monetary policy, coupled with still-robust underlying growth in productivity, should be sufficient to foster an improving business climate over time. Nonetheless, the Committee recognizes that, for the foreseeable future, against the background of its long run goals of price stability and sustainable economic growth and of the information currently available, the risks are weighted mainly toward conditions that may generate economic weakness. Voting for the FOMC monetary policy action were Alan Greenspan, Chairman; William J. McDonough, Vice Chairman; Ben S. Bernanke, Susan S. Bies; Roger W. Ferguson, Jr.; Edward M. Gramlich; Jerry L. Jordan; Donald L. Kohn, Robert D. McTeer, Jr.; Mark W. Olson; Anthony M. Santomero, and Gary H. Stern. 2002 Monetary policy Home | News and events Accessibility Last update: August 13, 2002","release date: august 13, 2002 for immediate release the federal open market committee decided today to keep its target for the federal funds rate unchanged at 1 3/4 percent. the softening in the growth of aggregate demand that emerged this spring has been prolonged in large measure by weakness in financial markets and heightened uncertainty related to problems in corporate reporting and governance. the current accommodative stance of monetary policy, coupled with still-robust underlying growth in productivity, should be sufficient to foster an improving business climate over time. nonetheless, the committee recognizes that, for the foreseeable future, against the background of its long run goals of price stability and sustainable economic growth and of the information currently available, the risks are weighted mainly toward conditions that may generate economic weakness. voting for the fomc monetary policy action were alan greenspan, chairman; william j. mcdonough, vice chairman; ben s. bernanke, susan s. bies; roger w. ferguson, jr.; edward m. gramlich; jerry l. jordan; donald l. kohn, robert d. mcteer, jr.; mark w. olson; anthony m. santomero, and gary h. stern. 2002 monetary policy home | news and events accessibility last update: august 13, 2002",186,,hold
2002-09-24,2002,2002-09-24,https://www.federalreserve.gov/boarddocs/press/monetary/2002/20020924/,"Release Date: September 24, 2002 For immediate release The Federal Open Market Committee decided today to keep its target for the federal funds rate unchanged at 1 3/4 percent. The information that has become available since the last meeting of the Committee suggests that aggregate demand is growing at a moderate pace. Over time, the current accommodative stance of monetary policy, coupled with still robust underlying growth in productivity, should be sufficient to foster an improving business climate. However, considerable uncertainty persists about the extent and timing of the expected pickup in production and employment owing in part to the emergence of heightened geopolitical risks. Consequently, the Committee believes that, for the foreseeable future, against the background of its long-run goals of price stability and sustainable economic growth and of the information currently available, the risks are weighted mainly toward conditions that may generate economic weakness. Voting for the FOMC monetary policy action were: Alan Greenspan, Chairman; William J. McDonough, Vice Chairman; Ben S. Bernanke; Susan S. Bies; Roger W. Ferguson, Jr.; Jerry L. Jordan; Donald L. Kohn; Mark W. Olson; Anthony M. Santomero, and Gary H. Stern. Voting against the action were: Edward M. Gramlich and Robert D. McTeer, Jr. Governor Gramlich and President McTeer preferred a reduction in the target for the federal funds rate. 2002 Monetary policy Home | News and events Accessibility Last update: September 24, 2002","release date: september 24, 2002 for immediate release the federal open market committee decided today to keep its target for the federal funds rate unchanged at 1 3/4 percent. the information that has become available since the last meeting of the committee suggests that aggregate demand is growing at a moderate pace. over time, the current accommodative stance of monetary policy, coupled with still robust underlying growth in productivity, should be sufficient to foster an improving business climate. however, considerable uncertainty persists about the extent and timing of the expected pickup in production and employment owing in part to the emergence of heightened geopolitical risks. consequently, the committee believes that, for the foreseeable future, against the background of its long-run goals of price stability and sustainable economic growth and of the information currently available, the risks are weighted mainly toward conditions that may generate economic weakness. voting for the fomc monetary policy action were: alan greenspan, chairman; william j. mcdonough, vice chairman; ben s. bernanke; susan s. bies; roger w. ferguson, jr.; jerry l. jordan; donald l. kohn; mark w. olson; anthony m. santomero, and gary h. stern. voting against the action were: edward m. gramlich and robert d. mcteer, jr. governor gramlich and president mcteer preferred a reduction in the target for the federal funds rate. 2002 monetary policy home | news and events accessibility last update: september 24, 2002",224,,hold
2002-11-06,2002,2002-11-06,https://www.federalreserve.gov/boarddocs/press/monetary/2002/20021106/,"Release Date: November 6, 2002 For immediate release The Federal Open Market Committee decided today to lower its target for the federal funds rate by 50 basis points to 1 1/4 percent. In a related action, the Board of Governors approved a 50 basis point reduction in the discount rate to 3/4 percent. The Committee continues to believe that an accommodative stance of monetary policy, coupled with still-robust underlying growth in productivity, is providing important ongoing support to economic activity. However, incoming economic data have tended to confirm that greater uncertainty, in part attributable to heightened geopolitical risks, is currently inhibiting spending, production, and employment. Inflation and inflation expectations remain well contained. In these circumstances, the Committee believes that today's additional monetary easing should prove helpful as the economy works its way through this current soft spot. With this action, the Committee believes that, against the background of its long-run goals of price stability and sustainable economic growth and of the information currently available, the risks are balanced with respect to the prospects for both goals in the foreseeable future. Voting for the FOMC monetary policy action were Alan Greenspan, Chairman; William J. McDonough, Vice Chairman; Ben S. Bernanke, Susan S. Bies; Roger W. Ferguson, Jr.; Edward M. Gramlich; Jerry L. Jordan; Donald L. Kohn, Robert D. McTeer, Jr.; Mark W. Olson; Anthony M. Santomero, and Gary H. Stern. In taking the discount rate action, the Federal Reserve Board approved the requests submitted by the Boards of Directors of the Federal Reserve Banks of Dallas and New York. 2002 Monetary policy Home | News and events Accessibility Last update: November 6, 2002","release date: november 6, 2002 for immediate release the federal open market committee decided today to lower its target for the federal funds rate by 50 basis points to 1 1/4 percent. in a related action, the board of governors approved a 50 basis point reduction in the discount rate to 3/4 percent. the committee continues to believe that an accommodative stance of monetary policy, coupled with still-robust underlying growth in productivity, is providing important ongoing support to economic activity. however, incoming economic data have tended to confirm that greater uncertainty, in part attributable to heightened geopolitical risks, is currently inhibiting spending, production, and employment. inflation and inflation expectations remain well contained. in these circumstances, the committee believes that today's additional monetary easing should prove helpful as the economy works its way through this current soft spot. with this action, the committee believes that, against the background of its long-run goals of price stability and sustainable economic growth and of the information currently available, the risks are balanced with respect to the prospects for both goals in the foreseeable future. voting for the fomc monetary policy action were alan greenspan, chairman; william j. mcdonough, vice chairman; ben s. bernanke, susan s. bies; roger w. ferguson, jr.; edward m. gramlich; jerry l. jordan; donald l. kohn, robert d. mcteer, jr.; mark w. olson; anthony m. santomero, and gary h. stern. in taking the discount rate action, the federal reserve board approved the requests submitted by the boards of directors of the federal reserve banks of dallas and new york. 2002 monetary policy home | news and events accessibility last update: november 6, 2002",263,,cut
2002-12-10,2002,2002-12-10,https://www.federalreserve.gov/boarddocs/press/monetary/2002/20021210/,"Release Date: December 10, 2002 For immediate release The Federal Open Market Committee decided today to keep its target for the federal funds rate unchanged at 1-1/4 percent. The Committee continues to believe that this accommodative stance of monetary policy, coupled with still robust underlying growth in productivity, is providing important ongoing support to economic activity. The limited number of incoming economic indicators since the November meeting, taken together, are not inconsistent with the economy working its way through its current soft spot. In these circumstances, the Committee believes that, against the background of its long-run goals of price stability and sustainable economic growth and of the information currently available, the risks are balanced with respect to the prospects for both goals for the foreseeable future. Voting for the FOMC monetary policy action were Alan Greenspan, Chairman; William J. McDonough, Vice Chairman; Ben S. Bernanke, Susan S. Bies; Roger W. Ferguson, Jr.; Edward M. Gramlich; Jerry L. Jordan; Donald L. Kohn, Robert D. McTeer, Jr.; Mark W. Olson; Anthony M. Santomero, and Gary H. Stern. 2002 Monetary policy Home | News and events Accessibility Last update: December 10, 2002","release date: december 10, 2002 for immediate release the federal open market committee decided today to keep its target for the federal funds rate unchanged at 1-1/4 percent. the committee continues to believe that this accommodative stance of monetary policy, coupled with still robust underlying growth in productivity, is providing important ongoing support to economic activity. the limited number of incoming economic indicators since the november meeting, taken together, are not inconsistent with the economy working its way through its current soft spot. in these circumstances, the committee believes that, against the background of its long-run goals of price stability and sustainable economic growth and of the information currently available, the risks are balanced with respect to the prospects for both goals for the foreseeable future. voting for the fomc monetary policy action were alan greenspan, chairman; william j. mcdonough, vice chairman; ben s. bernanke, susan s. bies; roger w. ferguson, jr.; edward m. gramlich; jerry l. jordan; donald l. kohn, robert d. mcteer, jr.; mark w. olson; anthony m. santomero, and gary h. stern. 2002 monetary policy home | news and events accessibility last update: december 10, 2002",183,,hold
2003-01-29,2003,2003-01-29,https://www.federalreserve.gov/boarddocs/press/monetary/2003/20030129/default.htm,"Release Date: January 29, 2003 For immediate release The Federal Open Market Committee decided today to keep its target for the federal funds rate unchanged at 1-1/4 percent. Oil price premiums and other aspects of geopolitical risks have reportedly fostered continued restraint on spending and hiring by businesses. However, the Committee believes that as those risks lift, as most analysts expect, the accommodative stance of monetary policy, coupled with ongoing growth in productivity, will provide support to an improving economic climate over time. In these circumstances, the Committee believes that, against the background of its long-run goals of price stability and sustainable economic growth and of the information currently available, the risks are balanced with respect to the prospects for both goals for the foreseeable future. Voting for the FOMC monetary policy action were Alan Greenspan, Chairman; William J. McDonough, Vice Chairman; Ben S. Bernanke, Susan S. Bies; J. Alfred Broaddus, Jr.; Roger W. Ferguson, Jr.; Edward M. Gramlich; Jack Guynn; Donald L. Kohn; Michael H. Moskow; Mark W. Olson, and Robert T. Parry. 2003 Monetary policy Home | News and events Accessibility Last update: January 29, 2003","release date: january 29, 2003 for immediate release the federal open market committee decided today to keep its target for the federal funds rate unchanged at 1-1/4 percent. oil price premiums and other aspects of geopolitical risks have reportedly fostered continued restraint on spending and hiring by businesses. however, the committee believes that as those risks lift, as most analysts expect, the accommodative stance of monetary policy, coupled with ongoing growth in productivity, will provide support to an improving economic climate over time. in these circumstances, the committee believes that, against the background of its long-run goals of price stability and sustainable economic growth and of the information currently available, the risks are balanced with respect to the prospects for both goals for the foreseeable future. voting for the fomc monetary policy action were alan greenspan, chairman; william j. mcdonough, vice chairman; ben s. bernanke, susan s. bies; j. alfred broaddus, jr.; roger w. ferguson, jr.; edward m. gramlich; jack guynn; donald l. kohn; michael h. moskow; mark w. olson, and robert t. parry. 2003 monetary policy home | news and events accessibility last update: january 29, 2003",182,,hold
2003-03-18,2003,2003-03-18,https://www.federalreserve.gov/boarddocs/press/monetary/2003/20030318/default.htm,"Release Date: March 18, 2003 For immediate release The Federal Open Market Committee decided today to keep its target for the federal funds rate unchanged at 1-1/4 percent. While incoming economic data since the January meeting have been mixed, recent labor market indicators have proven disappointing. However, the hesitancy of the economic expansion appears to owe importantly to oil price premiums and other aspects of geopolitical uncertainties. The Committee believes that as those uncertainties lift, as most analysts expect, the accommodative stance of monetary policy, coupled with ongoing growth in productivity, will provide support to economic activity sufficient to engender an improving economic climate over time. In light of the unusually large uncertainties clouding the geopolitical situation in the short run and their apparent effects on economic decisionmaking, the Committee does not believe it can usefully characterize the current balance of risks with respect to the prospects for its long-run goals of price stability and sustainable economic growth. Rather, the Committee decided to refrain from making that determination until some of those uncertainties abate. In the current circumstances, heightened surveillance is particularly informative. Voting for the FOMC monetary policy action were Alan Greenspan, Chairman; William J. McDonough, Vice Chairman; Ben S. Bernanke; Susan S. Bies; J. Alfred Broaddus, Jr.; Roger W. Ferguson, Jr.; Edward M. Gramlich; Jack Guynn; Donald L. Kohn; Michael H. Moskow; Mark W. Olson; and Robert T. Parry. 2003 Monetary policy Home | News and events Accessibility Last update: March 21, 2003","release date: march 18, 2003 for immediate release the federal open market committee decided today to keep its target for the federal funds rate unchanged at 1-1/4 percent. while incoming economic data since the january meeting have been mixed, recent labor market indicators have proven disappointing. however, the hesitancy of the economic expansion appears to owe importantly to oil price premiums and other aspects of geopolitical uncertainties. the committee believes that as those uncertainties lift, as most analysts expect, the accommodative stance of monetary policy, coupled with ongoing growth in productivity, will provide support to economic activity sufficient to engender an improving economic climate over time. in light of the unusually large uncertainties clouding the geopolitical situation in the short run and their apparent effects on economic decisionmaking, the committee does not believe it can usefully characterize the current balance of risks with respect to the prospects for its long-run goals of price stability and sustainable economic growth. rather, the committee decided to refrain from making that determination until some of those uncertainties abate. in the current circumstances, heightened surveillance is particularly informative. voting for the fomc monetary policy action were alan greenspan, chairman; william j. mcdonough, vice chairman; ben s. bernanke; susan s. bies; j. alfred broaddus, jr.; roger w. ferguson, jr.; edward m. gramlich; jack guynn; donald l. kohn; michael h. moskow; mark w. olson; and robert t. parry. 2003 monetary policy home | news and events accessibility last update: march 21, 2003",239,,hold
2003-05-06,2003,2003-05-06,https://www.federalreserve.gov/boarddocs/press/monetary/2003/20030506/default.htm,"Release Date: May 6, 2003 For immediate release The Federal Open Market Committee decided to keep its target for the federal funds rate unchanged at 1-1/4 percent. Recent readings on production and employment, though mostly reflecting decisions made before the conclusion of hostilities, have proven disappointing. However, the ebbing of geopolitical tensions has rolled back oil prices, bolstered consumer confidence, and strengthened debt and equity markets. These developments, along with the accommodative stance of monetary policy and ongoing growth in productivity, should foster an improving economic climate over time. Although the timing and extent of that improvement remain uncertain, the Committee perceives that over the next few quarters the upside and downside risks to the attainment of sustainable growth are roughly equal. In contrast, over the same period, the probability of an unwelcome substantial fall in inflation, though minor, exceeds that of a pickup in inflation from its already low level. The Committee believes that, taken together, the balance of risks to achieving its goals is weighted toward weakness over the foreseeable future. Voting for the FOMC monetary policy action were Alan Greenspan, Chairman; William J. McDonough, Vice Chairman; Ben S. Bernanke; Susan S. Bies; J. Alfred Broaddus, Jr.; Roger W. Ferguson, Jr.; Edward M. Gramlich; Jack Guynn; Donald L. Kohn; Michael H. Moskow; Mark W. Olson; and Robert T. Parry. 2003 Monetary policy Home | News and events Accessibility Last update: May 6, 2003","release date: may 6, 2003 for immediate release the federal open market committee decided to keep its target for the federal funds rate unchanged at 1-1/4 percent. recent readings on production and employment, though mostly reflecting decisions made before the conclusion of hostilities, have proven disappointing. however, the ebbing of geopolitical tensions has rolled back oil prices, bolstered consumer confidence, and strengthened debt and equity markets. these developments, along with the accommodative stance of monetary policy and ongoing growth in productivity, should foster an improving economic climate over time. although the timing and extent of that improvement remain uncertain, the committee perceives that over the next few quarters the upside and downside risks to the attainment of sustainable growth are roughly equal. in contrast, over the same period, the probability of an unwelcome substantial fall in inflation, though minor, exceeds that of a pickup in inflation from its already low level. the committee believes that, taken together, the balance of risks to achieving its goals is weighted toward weakness over the foreseeable future. voting for the fomc monetary policy action were alan greenspan, chairman; william j. mcdonough, vice chairman; ben s. bernanke; susan s. bies; j. alfred broaddus, jr.; roger w. ferguson, jr.; edward m. gramlich; jack guynn; donald l. kohn; michael h. moskow; mark w. olson; and robert t. parry. 2003 monetary policy home | news and events accessibility last update: may 6, 2003",228,,hold
2003-06-25,2003,2003-06-25,https://www.federalreserve.gov/boarddocs/press/monetary/2003/20030625/default.htm,"Release Date: June 25, 2003 For immediate release The Federal Open Market Committee decided today to lower its target for the federal funds rate by 25 basis points to 1 percent. In a related action, the Board of Governors approved a 25 basis point reduction in the discount rate to 2 percent. The Committee continues to believe that an accommodative stance of monetary policy, coupled with still robust underlying growth in productivity, is providing important ongoing support to economic activity. Recent signs point to a firming in spending, markedly improved financial conditions, and labor and product markets that are stabilizing. The economy, nonetheless, has yet to exhibit sustainable growth. With inflationary expectations subdued, the Committee judged that a slightly more expansive monetary policy would add further support for an economy which it expects to improve over time. The Committee perceives that the upside and downside risks to the attainment of sustainable growth for the next few quarters are roughly equal. In contrast, the probability, though minor, of an unwelcome substantial fall in inflation exceeds that of a pickup in inflation from its already low level. On balance, the Committee believes that the latter concern is likely to predominate for the foreseeable future. Voting for the FOMC monetary policy action were Alan Greenspan, Chairman; Ben S. Bernanke; Susan S. Bies; J. Alfred Broaddus, Jr.; Roger W. Ferguson, Jr.; Edward M. Gramlich; Jack Guynn; Donald L. Kohn; Michael H. Moskow; Mark W. Olson; and Jamie B. Stewart, Jr. Voting against the action was Robert T. Parry. President Parry preferred a 50 basis point reduction in the target for the federal funds rate. In taking the discount rate action, the Federal Reserve Board approved the requests submitted by the Boards of Directors of the Federal Reserve Banks of Boston, New York, St. Louis, Kansas City, and San Francisco. 2003 Monetary policy Home | News and events Accessibility Last update: June 25, 2003","release date: june 25, 2003 for immediate release the federal open market committee decided today to lower its target for the federal funds rate by 25 basis points to 1 percent. in a related action, the board of governors approved a 25 basis point reduction in the discount rate to 2 percent. the committee continues to believe that an accommodative stance of monetary policy, coupled with still robust underlying growth in productivity, is providing important ongoing support to economic activity. recent signs point to a firming in spending, markedly improved financial conditions, and labor and product markets that are stabilizing. the economy, nonetheless, has yet to exhibit sustainable growth. with inflationary expectations subdued, the committee judged that a slightly more expansive monetary policy would add further support for an economy which it expects to improve over time. the committee perceives that the upside and downside risks to the attainment of sustainable growth for the next few quarters are roughly equal. in contrast, the probability, though minor, of an unwelcome substantial fall in inflation exceeds that of a pickup in inflation from its already low level. on balance, the committee believes that the latter concern is likely to predominate for the foreseeable future. voting for the fomc monetary policy action were alan greenspan, chairman; ben s. bernanke; susan s. bies; j. alfred broaddus, jr.; roger w. ferguson, jr.; edward m. gramlich; jack guynn; donald l. kohn; michael h. moskow; mark w. olson; and jamie b. stewart, jr. voting against the action was robert t. parry. president parry preferred a 50 basis point reduction in the target for the federal funds rate. in taking the discount rate action, the federal reserve board approved the requests submitted by the boards of directors of the federal reserve banks of boston, new york, st. louis, kansas city, and san francisco. 2003 monetary policy home | news and events accessibility last update: june 25, 2003",308,,cut
2003-08-12,2003,2003-08-12,https://www.federalreserve.gov/boarddocs/press/monetary/2003/20030812/default.htm,"Release Date: August 12, 2003 For immediate release The Federal Open Market Committee decided today to keep its target for the federal funds rate at 1 percent. The Committee continues to believe that an accommodative stance of monetary policy, coupled with still-robust underlying growth in productivity, is providing important ongoing support to economic activity. The evidence accumulated over the intermeeting period shows that spending is firming, although labor market indicators are mixed. Business pricing power and increases in core consumer prices remain muted. The Committee perceives that the upside and downside risks to the attainment of sustainable growth for the next few quarters are roughly equal. In contrast, the probability, though minor, of an unwelcome fall in inflation exceeds that of a rise in inflation from its already low level. The Committee judges that, on balance, the risk of inflation becoming undesirably low is likely to be the predominant concern for the foreseeable future. In these circumstances, the Committee believes that policy accommodation can be maintained for a considerable period. Voting for the FOMC monetary policy action were: Alan Greenspan, Chairman; Ben S. Bernanke; Susan S. Bies; J. Alfred Broaddus, Jr.; Roger W. Ferguson, Jr.; Edward M. Gramlich; Jack Guynn; Donald L. Kohn; Michael H. Moskow; Mark W. Olson; Robert T. Parry; and Jamie B. Stewart, Jr. 2003 Monetary policy Home | News and events Accessibility Last update: August 12, 2003","release date: august 12, 2003 for immediate release the federal open market committee decided today to keep its target for the federal funds rate at 1 percent. the committee continues to believe that an accommodative stance of monetary policy, coupled with still-robust underlying growth in productivity, is providing important ongoing support to economic activity. the evidence accumulated over the intermeeting period shows that spending is firming, although labor market indicators are mixed. business pricing power and increases in core consumer prices remain muted. the committee perceives that the upside and downside risks to the attainment of sustainable growth for the next few quarters are roughly equal. in contrast, the probability, though minor, of an unwelcome fall in inflation exceeds that of a rise in inflation from its already low level. the committee judges that, on balance, the risk of inflation becoming undesirably low is likely to be the predominant concern for the foreseeable future. in these circumstances, the committee believes that policy accommodation can be maintained for a considerable period. voting for the fomc monetary policy action were: alan greenspan, chairman; ben s. bernanke; susan s. bies; j. alfred broaddus, jr.; roger w. ferguson, jr.; edward m. gramlich; jack guynn; donald l. kohn; michael h. moskow; mark w. olson; robert t. parry; and jamie b. stewart, jr. 2003 monetary policy home | news and events accessibility last update: august 12, 2003",225,,hold
2003-09-16,2003,2003-09-16,https://www.federalreserve.gov/boarddocs/press/monetary/2003/20030916/default.htm,"Release Date: September 16, 2003 For immediate release The Federal Open Market Committee decided today to keep its target for the federal funds rate at 1 percent. The Committee continues to believe that an accommodative stance of monetary policy, coupled with robust underlying growth in productivity, is providing important ongoing support to economic activity. The evidence accumulated over the intermeeting period confirms that spending is firming, although the labor market has been weakening. Business pricing power and increases in core consumer prices remain muted. The Committee perceives that the upside and downside risks to the attainment of sustainable growth for the next few quarters are roughly equal. In contrast, the probability, though minor, of an unwelcome fall in inflation exceeds that of a rise in inflation from its already low level. The Committee judges that, on balance, the risk of inflation becoming undesirably low remains the predominant concern for the foreseeable future. In these circumstances, the Committee believes that policy accommodation can be maintained for a considerable period. Voting for the FOMC monetary policy action were: Alan Greenspan, Chairman; Ben S. Bernanke; Susan S. Bies; J. Alfred Broaddus, Jr.; Roger W. Ferguson, Jr.; Edward M. Gramlich; Jack Guynn; Donald L. Kohn; Michael H. Moskow; Mark W. Olson; Robert T. Parry; and Jamie B. Stewart, Jr. 2003 Monetary policy Home | News and events Accessibility Last update: September 16, 2003","release date: september 16, 2003 for immediate release the federal open market committee decided today to keep its target for the federal funds rate at 1 percent. the committee continues to believe that an accommodative stance of monetary policy, coupled with robust underlying growth in productivity, is providing important ongoing support to economic activity. the evidence accumulated over the intermeeting period confirms that spending is firming, although the labor market has been weakening. business pricing power and increases in core consumer prices remain muted. the committee perceives that the upside and downside risks to the attainment of sustainable growth for the next few quarters are roughly equal. in contrast, the probability, though minor, of an unwelcome fall in inflation exceeds that of a rise in inflation from its already low level. the committee judges that, on balance, the risk of inflation becoming undesirably low remains the predominant concern for the foreseeable future. in these circumstances, the committee believes that policy accommodation can be maintained for a considerable period. voting for the fomc monetary policy action were: alan greenspan, chairman; ben s. bernanke; susan s. bies; j. alfred broaddus, jr.; roger w. ferguson, jr.; edward m. gramlich; jack guynn; donald l. kohn; michael h. moskow; mark w. olson; robert t. parry; and jamie b. stewart, jr. 2003 monetary policy home | news and events accessibility last update: september 16, 2003",222,,hold
2003-10-28,2003,2003-10-28,https://www.federalreserve.gov/boarddocs/press/monetary/2003/20031028/default.htm,"Release Date: October 28, 2003 For immediate release The Federal Open Market Committee decided today to keep its target for the federal funds rate at 1 percent. The Committee continues to believe that an accommodative stance of monetary policy, coupled with robust underlying growth in productivity, is providing important ongoing support to economic activity. The evidence accumulated over the intermeeting period confirms that spending is firming, and the labor market appears to be stabilizing. Business pricing power and increases in core consumer prices remain muted. The Committee perceives that the upside and downside risks to the attainment of sustainable growth for the next few quarters are roughly equal. In contrast, the probability, though minor, of an unwelcome fall in inflation exceeds that of a rise in inflation from its already low level. The Committee judges that, on balance, the risk of inflation becoming undesirably low remains the predominant concern for the foreseeable future. In these circumstances, the Committee believes that policy accommodation can be maintained for a considerable period. Voting for the FOMC monetary policy action were: Alan Greenspan, Chairman; Ben S. Bernanke; Susan S. Bies; J. Alfred Broaddus, Jr.; Roger W. Ferguson, Jr.; Edward M. Gramlich; Jack Guynn; Donald L. Kohn; Michael H. Moskow; Mark W. Olson; Robert T. Parry; and Jamie B. Stewart, Jr. 2003 Monetary policy Home | News and events Accessibility Last update: October 28, 2003","release date: october 28, 2003 for immediate release the federal open market committee decided today to keep its target for the federal funds rate at 1 percent. the committee continues to believe that an accommodative stance of monetary policy, coupled with robust underlying growth in productivity, is providing important ongoing support to economic activity. the evidence accumulated over the intermeeting period confirms that spending is firming, and the labor market appears to be stabilizing. business pricing power and increases in core consumer prices remain muted. the committee perceives that the upside and downside risks to the attainment of sustainable growth for the next few quarters are roughly equal. in contrast, the probability, though minor, of an unwelcome fall in inflation exceeds that of a rise in inflation from its already low level. the committee judges that, on balance, the risk of inflation becoming undesirably low remains the predominant concern for the foreseeable future. in these circumstances, the committee believes that policy accommodation can be maintained for a considerable period. voting for the fomc monetary policy action were: alan greenspan, chairman; ben s. bernanke; susan s. bies; j. alfred broaddus, jr.; roger w. ferguson, jr.; edward m. gramlich; jack guynn; donald l. kohn; michael h. moskow; mark w. olson; robert t. parry; and jamie b. stewart, jr. 2003 monetary policy home | news and events accessibility last update: october 28, 2003",223,,hold
